covid,fragile,ProjYear,NumPoor,ReqYearPopulation,HeadCount,SharePoor,TotalPoor
covid,con.fragile,2010,439066337.892912,1123471025,0.390812337944284,0.394194366571315,1113832096.87112
covid,con.fragile,2011,435222760.414305,1164224745,0.373830535971218,0.442728430708568,983046784.950652
covid,con.fragile,2012,423926082.126607,1193752638,0.355120540581044,0.459636349097923,922307565.44516
covid,con.fragile,2013,429548934.363582,1224003306,0.35093772398976,0.521222322193415,824118454.013918
covid,con.fragile,2014,426112373.11125,1254822216,0.339579876478096,0.542032025251567,786138739.520942
covid,con.fragile,2015,437427001.918192,1286093635,0.340120649083371,0.577530781908241,757408982.553058
covid,con.fragile,2016,447323832.300222,1317780034,0.33945257991382,0.609198258422348,734282848.179286
covid,con.fragile,2017,448536709.8346,1349903685,0.332273120533485,0.629719265219266,712280431.310008
covid,con.fragile,2018,446844879.253001,1382479753,0.323219836155532,0.643410016241645,694494751.361128
covid,con.fragile,2019,450090245.487116,1415543290,0.317962897119957,0.653638214365854,688592306.255815
covid,con.fragile,2020,466482007.588888,1449116353,0.321907903822329,0.631949695310064,738163197.246279
,,2010,623222697.565806,5443570612,0.114487850344396,0.559530201469781,1113832096.87112
,,2011,497276788.733023,5493019181,0.0905288644272482,0.505852616931132,983046784.950652
,,2012,450761082.996216,5541953047,0.0813361425427854,0.488731850289716,922307565.44516
,,2013,347746962.652461,5590235922,0.0622061336059049,0.421962353783899,824118454.013918
,,2014,313781494.25647,5637724058,0.0556574764973128,0.399142642999227,786138739.520942
,,2015,272963704.753375,5684286737,0.0480207486678333,0.360391427935374,757408982.553058
,,2016,236760228.06305,5634159281,0.0420222816315246,0.322437366813233,734282848.179286
,,2017,214668532.665799,5774323221,0.0371763970338713,0.301382044528425,712280431.310008
,,2018,190741866.727591,5718193850,0.0333570130238924,0.274648392019896,694494751.361128
,,2019,182772502.155003,5859431616,0.0311928723011148,0.265429195903769,688592306.255815
,,2020,211017711.282851,5809792164,0.0363210430470144,0.285868642693179,738163197.246279
covid,,2010,36243878.8438474,91115561,0.397779242602121,0.0325398046488878,1113832096.87112
covid,,2011,36865479.9369976,93357200,0.394886306969335,0.0375012466358335,983046784.950652
covid,,2012,35719459.9322444,95746807,0.373061630475514,0.0387283605496655,922307565.44516
covid,,2013,35817014.8418402,98226782,0.364635938514612,0.0434610032907179,824118454.013918
covid,,2014,35338454.2938237,100714414,0.350877822650327,0.0449519308962668,786138739.520942
covid,,2015,35810166.5175344,103149267,0.347168405157298,0.0472798281277656,757408982.553058
covid,,2016,16968480.2435011,74235349,0.228576823199162,0.023108915434394,734282848.179286
covid,,2017,36713447.3359952,107821662,0.34050158989383,0.0515435293771482,712280431.310008
covid,,2018,16472834.8221863,77099692,0.213656298681275,0.0237191638812265,694494751.361128
covid,,2019,35948532.7632222,112344543,0.319984681082571,0.0522058298308479,688592306.255815
covid,,2020,32414764.6367874,103816863,0.312230245646966,0.0439127346875472,738163197.246279
covid,fragile,2020,4482418.01675711,10790470,0.415405261935495,0.00607239433431359,738163197.246279
,fragile,2016,2264542.48860213,95688681,0.02366573,0.00308401931791986,734282848.179286
,fragile,2018,3814313.22911034,99375741,0.03838274,0.00549221318323102,694494751.361128
,con.fragile,2010,15299182.5685556,173847703,0.0880033633148181,0.0137356273100162,1113832096.87112
,con.fragile,2011,13681755.866326,176250824,0.0776266207205139,0.0139177057244665,983046784.950652
,con.fragile,2012,11900940.3900926,178462057,0.0666861101466102,0.0129034400626959,922307565.44516
,con.fragile,2013,11005542.1560355,180580665,0.0609452964193895,0.013354320731968,824118454.013918
,con.fragile,2014,10906417.8593981,182747755,0.0596801742346882,0.0138734008529389,786138739.520942
,con.fragile,2015,11208109.3639561,185070270,0.0605613714399188,0.0147979620286203,757408982.553058
,con.fragile,2016,11484843.869119,187568320,0.0612301899868752,0.0156408990045139,734282848.179286
,con.fragile,2017,12361741.4736141,190224849,0.0649848930809984,0.0173551608751607,712280431.310008
,con.fragile,2018,16634143.5819936,193063006,0.0861591452792031,0.0239514316694153,694494751.361128
,con.fragile,2019,19781025.8504744,196100122,0.100872073146769,0.0287267598995299,688592306.255815
,con.fragile,2020,22922330.9111662,199340313,0.114990944712554,0.0310532020516304,738163197.246279
,fragile,2020,843964.809829138,90003697,0.0093770015894918,0.00114333092326677,738163197.246279
covid,fragile,2016,19480921.2147916,31277754,0.62283632049768,0.0265305410075915,734282848.179286
covid,fragile,2018,19986713.747246,32989978,0.605841984715661,0.0287787830045863,694494751.361128
