phase,poverty_line,variable,value
p3,1.9,poor,87536697.2097363
p2,1.9,poor,133300502.539372
p3,3.2,poor,115798681.682235
p2,3.2,poor,202336163.38983
p3,5.5,poor,132461556.698046
p2,5.5,poor,243425590.702421
nonipc,1.9,poor,517325997.49717
nonipc,3.2,poor,1560800668.54769
nonipc,5.5,poor,2967103849.43237
p3,1.9,nonpoor,54591340.8130212
p2,1.9,nonpoor,149645196.751661
p3,3.2,nonpoor,26329356.3405223
p2,3.2,nonpoor,80609535.9012026
p3,5.5,nonpoor,9666481.32471133
p2,5.5,nonpoor,39520108.5886122
nonipc,1.9,nonpoor,6720460125.18904
nonipc,3.2,nonpoor,5676985454.13852
nonipc,5.5,nonpoor,4270682273.25384
