Year,FlowName,total,len
2010,ODA Loans,3385.85656523398,16
2010,ODA Grants,2279.3307326906,14
2011,ODA Loans,2716.4328490397,15
2011,ODA Grants,1658.074789198,18
2012,ODA Grants,1421.409721046,17
2012,ODA Loans,2115.48065771,15
2013,ODA Grants,1715.167503136,18
2013,ODA Loans,3765.381408452,19
2014,ODA Grants,1324.1227501213,15
2014,ODA Loans,4095.8136275309,18
2015,ODA Loans,4630.04575413,18
2015,ODA Grants,1121.181616965,13
2016,ODA Loans,4935.660356497,19
2016,ODA Grants,1062.3847132732,19
2017,ODA Grants,848.46707882043,18
2017,ODA Loans,7794.15255594337,18
2018,ODA Grants,766.97608781,18
2018,ODA Loans,8037.119973952,17
2019,ODA Loans,9318.47992656968,18
2019,ODA Grants,1430.231752286,19
2012,Equity Investment,0.136458,1
2013,Equity Investment,0.906635,1
