Year,crisis_oda,all_oda,crisis_share
2010,22324.3848543788,107617.773056851,0.20744143109694
2011,24683.6576160945,109542.650709477,0.225333762294645
2012,25956.4112574168,105913.106532469,0.245072702588132
2013,22002.4146185074,120608.579393737,0.182428271099013
2014,21041.1285485827,114790.107835883,0.183300886681502
2015,25473.7754361634,125177.101605545,0.203501879412704
2016,45238.5868708393,133380.99936596,0.339168150530327
2017,53181.2725278464,140832.190625296,0.377621567141157
2018,73454.7058732488,139111.377372079,0.52802802517569
2019,75101.8846351495,143375.923001446,0.523810993247395
