iso3,hazard_class,IndicatorScore,drr_oda,total_oda
,,,666.48833533941,61107.5112209189
AFG,High,6.7,17.99174567,4604.52629110317
AGO,Medium,3.1,2.6823028,254.93101550025
ALB,High,6.4,0.19100931,324.568789548461
ARG,Medium,4,2.42103019,329.16933822836
ARM,Medium,4.5,0.73999664,630.54984929733
ATG,Medium,3.7,0.28718756,29.46194437831
AZE,High,4.9,0,263.79749004709
BDI,Medium,3.6,17.377849,659.73032076009
BEN,Medium,2.9,0.890869,706.5259691726
BFA,Medium,3.7,13.14113913,1386.70510973198
BGD,Very High,8.2,90.9998696969,5616.55276342822
BIH,Medium,4.1,10.99087543,714.9620195462
BLR,Low,2.2,0.616888,226.8811244318
BLZ,High,5.5,0.48511465,54.47494303722
BOL,High,4.7,17.189376663,841.760026215584
BRA,Medium,4,6.20870908,699.684955691642
BTN,Medium,3.5,22.91938777,203.5758575225
BWA,Low,2.7,0,89.61903072254
CAF,Medium,3.1,3.102777082,806.43819643901
CHN,Very High,7.5,10.27961891,1534.98744426328
CIV,Medium,3.8,0.17306163,1385.32470683013
CMR,Medium,3.6,4.64217741,1503.50949516756
COD,Medium,4.5,72.0102028084,3294.69375672752
COG,Medium,3.9,0,234.250407753177
COK,,,0.0954546,31.48274151163
COL,High,6.7,8.04824371,1543.20905736151
COM,Low,2.7,4.12935073,107.3947291256
CPV,Low,1.5,2.11392695,185.2092802887
CRI,High,6,1.41958223,87.251051906223
CUB,High,5.6,2.38342035,520.754444226461
DJI,High,5.4,0.4458094,323.8671623482
DMA,High,4.9,14.33041919,74.589135481
DOM,High,6.7,7.53375713,352.7858786868
DZA,High,4.7,0.72986121,267.7871379396
ECU,Very High,6.9,87.48101277,618.528720853885
EGY,High,4.9,2.70383088,3187.7783595528
ERI,Medium,3.7,0,370.0741231515
ETH,Medium,4.4,30.07893213,5244.11158201731
FJI,Medium,3.9,11.11894716,145.21076914787
FSM,Medium,4.2,4.218099892,95.3104040255
GAB,Low,2.5,0,170.83136079629
GEO,Medium,4.5,11.37249763,757.75132854754
GHA,Medium,3.7,0.47945063,1179.09487220614
GIN,Medium,3.9,0.4496656,642.021019954193
GMB,Medium,3.1,1.3698162,241.733812888821
GNB,Low,2.7,0.08848339,136.997043214013
GNQ,Medium,2.9,0.0018298,85.429842648
GRD,Low,1.7,0.0251633,32.078231082
GTM,High,6.7,5.18201031,456.53554979126
GUY,Medium,3.8,0.466458628,135.68868760631
HND,High,6.5,9.440488362,584.372015436354
HTI,Very High,7,21.549585875,752.375076297688
IDN,Very High,7.7,36.262424587,1640.40948409257
IND,Very High,7.8,71.7452173447,6519.18781692956
IRN,High,6.8,0.6664733,222.367009597851
IRQ,High,5.6,1.650809325,2398.47160424587
JAM,High,5.4,0.26141215,153.7575262577
JOR,Medium,4.2,15.15898176,3094.33695581552
KAZ,Medium,4,0.1601538,112.087616022679
KEN,High,5.1,144.53052785,3880.59398931635
KGZ,High,5.1,1.38451228,536.098311583456
KHM,High,5.8,25.1041119,1141.7540913467
KIR,Medium,3.8,2.949354,58.97060994615
LAO,High,4.9,17.61865703,745.18642828199
LBN,High,5.2,2.7544827,1724.71287677558
LBR,Medium,4,2.2976911,623.133084397018
LBY,Medium,3.7,3.56849392,327.234661957556
LCA,Low,2.6,2.7901789,36.5798458414
LKA,High,5.2,31.7846324,788.04268423984
LSO,Low,2.5,0.7291969,178.076556667474
MAR,High,4.7,2.4422478604,1724.47686724455
MDA,Medium,4.1,7.3343671,391.96741722118
MDG,High,6.1,8.156536453,827.776887749909
MDV,Medium,3.2,7.7001835,117.3330637674
MEX,High,6.7,4.17641607,797.105946474941
MHL,Medium,3.6,0.2229804,68.79306814371
MKD,Medium,3.8,3.4919723,228.1822009297
MLI,Medium,4.4,6.20072307,2013.0060614424
MMR,Very High,7.8,13.526420543,2180.48198438761
MNE,Medium,4.3,0.12446723,166.84339806969
MNG,Medium,2.9,3.750465639,407.83771246249
MOZ,High,5.8,66.546931891,2161.27269191306
MRT,High,5.6,4.712203121,546.095715818347
MSR,,,0,37.21308553
MUS,Medium,3.7,0.03364955,86.20189370543
MWI,Medium,4.5,12.47048111,1327.85339320063
MYS,High,4.9,0.97235676,123.10565256764
NAM,Medium,4.3,0.1145611,196.4111134545
NER,Medium,4.5,24.02248849,1591.64135298444
NGA,Medium,4,43.64616726,4031.99072237338
NIC,High,6.6,5.02134744,469.696478305239
NIU,,,0.0104639,19.4012691489
NPL,High,5.8,73.9971425481,1612.7947485271
NRU,Medium,2.8,0.3033043,55.5176169859
PAK,Very High,7.4,90.403496381,3609.57196723457
PAN,High,6.2,0.4959817,114.148230229
PER,Very High,7.1,8.710611745,1432.93364719803
PHL,Very High,8.4,69.8759922,1528.85433868619
PLW,Medium,3.2,0.28138167,24.9682488184
PNG,High,6.7,4.243900251,750.202605277582
PRK,High,5.2,1.90241529,152.38161932376
PRY,Low,2.6,1.85394339,202.459408515366
PSE,Medium,3.1,2.3817499,2306.61764018049
RWA,Medium,3.5,7.5711402,1298.6748252001
SDN,Medium,4.2,4.350994035,1677.65169454482
SEN,Medium,4.5,17.6504391964,1630.16744389502
SHN,,,0,55.10226619
SLB,High,5.8,1.16771299,234.4840932404
SLE,Medium,3.9,1.2856917,649.1917295759
SLV,High,6.5,8.696876741518,371.182259064229
SOM,Very High,6.9,60.05071841,1924.9939448408
SRB,Medium,4.5,14.172916961,1010.30175211678
SSD,Medium,4,27.33510373,1938.62168874983
STP,Low,1.3,0.379914074,55.5753408407126
SUR,Medium,3.9,0.42044,35.487164509
SWZ,Low,2.5,0,94.9122625511737
SYR,High,5.7,32.468090004,10448.2255404838
TCD,Medium,4.2,12.01754094,776.7672521765
TGO,Medium,3,1.513811,435.363649346179
THA,High,6.2,1.97256051,438.9253079971
TJK,High,5.8,15.55837425,420.91604757058
TKL,,,0.304388,19.60305126
TKM,Medium,3.7,1.1970523,29.37806678524
TLS,Medium,4.6,9.7200961606,242.9168732947
TON,High,5.2,9.36192556,112.823831434437
TUN,Medium,4.4,8.70650762,1606.17442366371
TUR,High,6.2,0.1917606,2834.13286564762
TUV,Medium,3,5.25778886,37.7456622135
TZA,High,5.1,16.47679153,2457.38738030895
UGA,Medium,4.4,35.62484541,2367.15197161395
UKR,Medium,3.2,2.06239701,1375.46932619939
UZB,High,5.2,1.674643646,1265.42894356439
VCT,Low,2.6,0.4468879,87.56303005619
VEN,High,6.1,2.190188265,294.08168136656
VNM,Very High,7.4,195.3225498973,2422.89595472101
VUT,High,5.6,0.67861368,138.3723783117
WLF,,,0.256669,119.35925676873
WSM,Medium,3.5,0.84906143,137.20731714545
XKX,,,0.599433706,371.37871248022
YEM,Medium,4.3,6.222955625,4565.8765023436
ZAF,High,4.9,2.72896330121,1190.8025377536
ZMB,Medium,3.5,1.65920085,1064.14328769964
ZWE,High,4.7,5.04116142,1024.60473526229
