ISO3,income,region
ABW,High income,Latin America & Caribbean
AFG,Low income,South Asia
AGO,Lower middle income,Sub-Saharan Africa
AIA,High income,Latin America & Caribbean
ALB,Upper middle income,Europe & Central Asia
AND,High income,Europe & Central Asia
ANT,High income,Latin America & Caribbean
ARB,Aggregates,Aggregates
ARE,High income,Middle East & North Africa
ARG,High income,Latin America & Caribbean
ARM,Upper middle income,Europe & Central Asia
ASM,Upper middle income,East Asia & Pacific
ATG,High income,Latin America & Caribbean
AUS,High income,East Asia & Pacific
AUT,High income,Europe & Central Asia
AZE,Upper middle income,Europe & Central Asia
BDI,Low income,Sub-Saharan Africa
BEL,High income,Europe & Central Asia
BEN,Low income,Sub-Saharan Africa
BFA,Low income,Sub-Saharan Africa
BGD,Lower middle income,South Asia
BGR,Upper middle income,Europe & Central Asia
BHR,High income,Middle East & North Africa
BHS,High income,Latin America & Caribbean
BIH,Upper middle income,Europe & Central Asia
BLR,Upper middle income,Europe & Central Asia
BLZ,Upper middle income,Latin America & Caribbean
BMU,High income,North America
BOL,Lower middle income,Latin America & Caribbean
BRA,Upper middle income,Latin America & Caribbean
BRB,High income,Latin America & Caribbean
BRN,High income,East Asia & Pacific
BTN,Lower middle income,South Asia
BWA,Upper middle income,Sub-Saharan Africa
CAF,Low income,Sub-Saharan Africa
CAN,High income,North America
CEB,Aggregates,Aggregates
CHE,High income,Europe & Central Asia
CHI,High income,Europe & Central Asia
CHL,High income,Latin America & Caribbean
CHN,Upper middle income,East Asia & Pacific
CIV,Lower middle income,Sub-Saharan Africa
CMR,Lower middle income,Sub-Saharan Africa
COD,Low income,Sub-Saharan Africa
COG,Lower middle income,Sub-Saharan Africa
COK,Upper middle income,East Asia & Pacific
COL,Upper middle income,Latin America & Caribbean
COM,Low income,Sub-Saharan Africa
CPV,Lower middle income,Sub-Saharan Africa
CRI,Upper middle income,Latin America & Caribbean
CSS,Aggregates,Aggregates
CUB,Upper middle income,Latin America & Caribbean
CUW,High income,Latin America & Caribbean
CYM,High income,Latin America & Caribbean
CYP,High income,Europe & Central Asia
CZE,High income,Europe & Central Asia
DEU,High income,Europe & Central Asia
DJI,Lower middle income,Middle East & North Africa
DMA,Upper middle income,Latin America & Caribbean
DNK,High income,Europe & Central Asia
DOM,Upper middle income,Latin America & Caribbean
DZA,Upper middle income,Middle East & North Africa
EAP,Aggregates,Aggregates
EAR,Aggregates,Aggregates
EAS,Aggregates,Aggregates
ECA,Aggregates,Aggregates
ECS,Aggregates,Aggregates
ECU,Upper middle income,Latin America & Caribbean
EGY,Lower middle income,Middle East & North Africa
EMU,Aggregates,Aggregates
ERI,Low income,Sub-Saharan Africa
ESH,Low income,Middle East & North Africa
ESP,High income,Europe & Central Asia
EST,High income,Europe & Central Asia
ETH,Low income,Sub-Saharan Africa
EUU,Aggregates,Aggregates
FCS,Aggregates,Aggregates
FIN,High income,Europe & Central Asia
FJI,Upper middle income,East Asia & Pacific
FLK,High income,Latin America & Caribbean
FRA,High income,Europe & Central Asia
FRO,High income,Europe & Central Asia
FSM,Lower middle income,East Asia & Pacific
GAB,Upper middle income,Sub-Saharan Africa
GBR,High income,Europe & Central Asia
GEO,Lower middle income,Europe & Central Asia
GHA,Lower middle income,Sub-Saharan Africa
GIB,High income,Europe & Central Asia
GIN,Low income,Sub-Saharan Africa
GLP,High income,Latin America & Caribbean
GMB,Low income,Sub-Saharan Africa
GNB,Low income,Sub-Saharan Africa
GNQ,Upper middle income,Sub-Saharan Africa
GRC,High income,Europe & Central Asia
GRD,Upper middle income,Latin America & Caribbean
GRL,High income,Europe & Central Asia
GTM,Upper middle income,Latin America & Caribbean
GUF,Upper middle income,Latin America & Caribbean
GUM,High income,East Asia & Pacific
GUY,Upper middle income,Latin America & Caribbean
HIC,Aggregates,Aggregates
HKG,High income,East Asia & Pacific
HND,Lower middle income,Latin America & Caribbean
HPC,Aggregates,Aggregates
HRV,High income,Europe & Central Asia
HTI,Low income,Latin America & Caribbean
HUN,High income,Europe & Central Asia
IBD,Aggregates,Aggregates
IBT,Aggregates,Aggregates
IDA,Aggregates,Aggregates
IDB,Aggregates,Aggregates
IDN,Lower middle income,East Asia & Pacific
IDX,Aggregates,Aggregates
IMN,High income,Europe & Central Asia
IND,Lower middle income,South Asia
INX,Aggregates,Aggregates
IRL,High income,Europe & Central Asia
IRN,Upper middle income,Middle East & North Africa
IRQ,Upper middle income,Middle East & North Africa
ISL,High income,Europe & Central Asia
ISR,High income,Middle East & North Africa
ITA,High income,Europe & Central Asia
JAM,Upper middle income,Latin America & Caribbean
JOR,Upper middle income,Middle East & North Africa
JPN,High income,East Asia & Pacific
KAZ,Upper middle income,Europe & Central Asia
KEN,Lower middle income,Sub-Saharan Africa
KGZ,Lower middle income,Europe & Central Asia
KHM,Lower middle income,East Asia & Pacific
KIR,Lower middle income,East Asia & Pacific
KNA,High income,Latin America & Caribbean
KOR,High income,East Asia & Pacific
KWT,High income,Middle East & North Africa
LAC,Aggregates,Aggregates
LAC,Aggregates,Aggregates
LAO,Lower middle income,East Asia & Pacific
LBN,Upper middle income,Middle East & North Africa
LBR,Low income,Sub-Saharan Africa
LBY,Upper middle income,Middle East & North Africa
LCA,Upper middle income,Latin America & Caribbean
LDC,Aggregates,Aggregates
LIC,Aggregates,Aggregates
LIE,High income,Europe & Central Asia
LKA,Lower middle income,South Asia
LMC,Aggregates,Aggregates
LMY,Aggregates,Aggregates
LSO,Lower middle income,Sub-Saharan Africa
LTE,Aggregates,Aggregates
LTU,High income,Europe & Central Asia
LUX,High income,Europe & Central Asia
LVA,High income,Europe & Central Asia
MAC,High income,East Asia & Pacific
MAF,High income,Latin America & Caribbean
MAR,Lower middle income,Middle East & North Africa
MCO,High income,Europe & Central Asia
MDA,Lower middle income,Europe & Central Asia
MDG,Low income,Sub-Saharan Africa
MDV,Upper middle income,South Asia
MEA,Aggregates,Aggregates
MEX,Upper middle income,Latin America & Caribbean
MHL,Upper middle income,East Asia & Pacific
MIC,Aggregates,Aggregates
MKD,Upper middle income,Europe & Central Asia
MLI,Low income,Sub-Saharan Africa
MLT,High income,Middle East & North Africa
MMR,Lower middle income,East Asia & Pacific
MNA,Aggregates,Aggregates
MNE,Upper middle income,Europe & Central Asia
MNG,Lower middle income,East Asia & Pacific
MNP,High income,East Asia & Pacific
MOZ,Low income,Sub-Saharan Africa
MRT,Lower middle income,Sub-Saharan Africa
MSR,Upper middle income,Latin America & Caribbean
MTQ,High income,Latin America & Caribbean
MUS,Upper middle income,Sub-Saharan Africa
MWI,Low income,Sub-Saharan Africa
MYS,Upper middle income,East Asia & Pacific
MYT,Upper middle income,Sub-Saharan Africa
NAC,Aggregates,Aggregates
NAM,Upper middle income,Sub-Saharan Africa
NCL,High income,East Asia & Pacific
NER,Low income,Sub-Saharan Africa
NGA,Lower middle income,Sub-Saharan Africa
NIC,Lower middle income,Latin America & Caribbean
NIU,High income,East Asia & Pacific
NLD,High income,Europe & Central Asia
NOR,High income,Europe & Central Asia
NPL,Low income,South Asia
NRU,Upper middle income,East Asia & Pacific
NZL,High income,East Asia & Pacific
OED,Aggregates,Aggregates
OMN,High income,Middle East & North Africa
OSS,Aggregates,Aggregates
PAK,Lower middle income,South Asia
PAN,High income,Latin America & Caribbean
PER,Upper middle income,Latin America & Caribbean
PHL,Lower middle income,East Asia & Pacific
PLW,High income,East Asia & Pacific
PNG,Lower middle income,East Asia & Pacific
POL,High income,Europe & Central Asia
PRE,Aggregates,Aggregates
PRI,High income,Latin America & Caribbean
PRK,Low income,East Asia & Pacific
PRT,High income,Europe & Central Asia
PRY,Upper middle income,Latin America & Caribbean
PSE,Lower middle income,Middle East & North Africa
PSS,Aggregates,Aggregates
PST,Aggregates,Aggregates
PYF,High income,East Asia & Pacific
QAT,High income,Middle East & North Africa
REU,Upper middle income,Sub-Saharan Africa
ROU,Upper middle income,Europe & Central Asia
RUS,Upper middle income,Europe & Central Asia
RWA,Low income,Sub-Saharan Africa
SAS,Aggregates,Aggregates
SAU,High income,Middle East & North Africa
SDN,Lower middle income,Sub-Saharan Africa
SEN,Low income,Sub-Saharan Africa
SGP,High income,East Asia & Pacific
SHN,High income,Sub-Saharan Africa
SLB,Lower middle income,East Asia & Pacific
SLE,Low income,Sub-Saharan Africa
SLV,Lower middle income,Latin America & Caribbean
SMR,High income,Europe & Central Asia
SOM,Low income,Sub-Saharan Africa
SPM,High income,North America
SRB,Upper middle income,Europe & Central Asia
SSA,Aggregates,Aggregates
SSA,Aggregates,Aggregates
SSD,Low income,Sub-Saharan Africa
SST,Aggregates,Aggregates
STP,Lower middle income,Sub-Saharan Africa
SUR,Upper middle income,Latin America & Caribbean
SVK,High income,Europe & Central Asia
SVN,High income,Europe & Central Asia
SWE,High income,Europe & Central Asia
SWZ,Lower middle income,Sub-Saharan Africa
SXM,High income,Latin America & Caribbean
SYC,High income,Sub-Saharan Africa
SYR,Low income,Middle East & North Africa
TCA,High income,Latin America & Caribbean
TCD,Low income,Sub-Saharan Africa
TEA,Aggregates,Aggregates
TEC,Aggregates,Aggregates
TGO,Low income,Sub-Saharan Africa
THA,Upper middle income,East Asia & Pacific
TJK,Low income,Europe & Central Asia
TKL,Lower middle income,East Asia & Pacific
TKM,Upper middle income,Europe & Central Asia
TLA,Aggregates,Aggregates
TLS,Lower middle income,East Asia & Pacific
TMN,Aggregates,Aggregates
TON,Upper middle income,East Asia & Pacific
TSA,Aggregates,Aggregates
TSS,Aggregates,Aggregates
TTO,High income,Latin America & Caribbean
TUN,Lower middle income,Middle East & North Africa
TUR,Upper middle income,Europe & Central Asia
TUV,Upper middle income,East Asia & Pacific
TWN,High income,East Asia & Pacific
TZA,Low income,Sub-Saharan Africa
UGA,Low income,Sub-Saharan Africa
UKR,Lower middle income,Europe & Central Asia
UMC,Aggregates,Aggregates
URY,High income,Latin America & Caribbean
USA,High income,North America
UZB,Lower middle income,Europe & Central Asia
VAT,High income,Europe & Central Asia
VCT,Upper middle income,Latin America & Caribbean
VEN,Upper middle income,Latin America & Caribbean
VGB,High income,Latin America & Caribbean
VIR,High income,Latin America & Caribbean
VNM,Lower middle income,East Asia & Pacific
VUT,Lower middle income,East Asia & Pacific
WLD,Aggregates,Aggregates
WLF,Upper middle income,East Asia & Pacific
WSM,Upper middle income,East Asia & Pacific
XKX,Lower middle income,Europe & Central Asia
YEM,Low income,Middle East & North Africa
ZAF,Upper middle income,Sub-Saharan Africa
ZMB,Lower middle income,Sub-Saharan Africa
ZWE,Low income,Sub-Saharan Africa
